State,County,Census Tract Number,Life Expectancy,Life Expectancy Range,Life Expectancy Standard Error
Illinois,"Cook County, IL",2409.00,78.4,77.6-79.5,1.6719
Illinois,"Cook County, IL",2410.00,70.8,56.9-75.1,1.7351
Illinois,"Cook County, IL",2411.00,76.4,75.2-77.5,2.8955
Illinois,"Cook County, IL",2412.00,82.7,81.7-97.5,2.5837
Illinois,"Cook County, IL",2413.00,81.1,79.6-81.6,1.7208
Illinois,"Cook County, IL",2414.00,81.1,79.6-81.6,2.7671
Illinois,"Cook County, IL",2415.00,,,
Illinois,"Cook County, IL",2416.00,82.2,81.7-97.5,3.0629
Illinois,"Cook County, IL",2420.00,77.2,75.2-77.5,3.0129
Illinois,"Cook County, IL",2421.00,75.9,75.2-77.5,3.1402
Illinois,"Cook County, IL",2422.00,,,
Illinois,"Cook County, IL",2423.00,82.3,81.7-97.5,3.7506
Illinois,"Cook County, IL",2424.00,82.9,81.7-97.5,2.6078
Illinois,"Cook County, IL",2425.00,80.7,79.6-81.6,2.19
Illinois,"Cook County, IL",2426.00,77.8,77.6-79.5,2.7804
Illinois,"Cook County, IL",2427.00,,,
Illinois,"Cook County, IL",2428.00,80.4,79.6-81.6,1.2594
Illinois,"Cook County, IL",2429.00,75.8,75.2-77.5,2.6782
Illinois,"Cook County, IL",2430.00,77.9,77.6-79.5,2.1141
Illinois,"Cook County, IL",2431.00,85.6,81.7-97.5,3.8071
Illinois,"Cook County, IL",2432.00,73.2,56.9-75.1,2.6229
Illinois,"Cook County, IL",2433.00,,,
Illinois,"Cook County, IL",2434.00,81.2,79.6-81.6,2.2484
Illinois,"Cook County, IL",2435.00,,,
Illinois,"Cook County, IL",2502.00,75.7,75.2-77.5,3.0354
Illinois,"Cook County, IL",2503.00,74.3,56.9-75.1,2.0112
Illinois,"Cook County, IL",2504.00,76.1,75.2-77.5,3.7736
Illinois,"Cook County, IL",2505.00,78.3,77.6-79.5,1.2374
Illinois,"Cook County, IL",2506.00,77.7,77.6-79.5,2.8642
Illinois,"Cook County, IL",2507.00,69.6,56.9-75.1,1.6591
Illinois,"Cook County, IL",2508.00,74.3,56.9-75.1,2.4468
Illinois,"Cook County, IL",2510.00,,,
Illinois,"Cook County, IL",2511.00,72,56.9-75.1,2.0527
Illinois,"Cook County, IL",2512.00,75.5,75.2-77.5,2.7243
Illinois,"Cook County, IL",2513.00,71.2,56.9-75.1,1.9294
Illinois,"Cook County, IL",2514.00,73.3,56.9-75.1,1.7994
Illinois,"Cook County, IL",2515.00,72,56.9-75.1,1.1397
Illinois,"Cook County, IL",2516.00,69.3,56.9-75.1,2.1097
Illinois,"Cook County, IL",2517.00,74.1,56.9-75.1,3.7626
Illinois,"Cook County, IL",2518.00,69.9,56.9-75.1,1.5856
Illinois,"Cook County, IL",2519.00,69.3,56.9-75.1,1.5709
Illinois,"Cook County, IL",2520.00,72.7,56.9-75.1,1.6799
Illinois,"Cook County, IL",2521.01,73.8,56.9-75.1,3.2026
Illinois,"Cook County, IL",2521.02,70.4,56.9-75.1,1.555
Illinois,"Cook County, IL",2522.01,73.2,56.9-75.1,1.927
Illinois,"Cook County, IL",2522.02,69.3,56.9-75.1,1.265
Illinois,"Cook County, IL",2601.00,72.4,56.9-75.1,1.3252
Illinois,"Cook County, IL",2602.00,65.4,56.9-75.1,3.9413
Illinois,"Cook County, IL",2603.00,65.4,56.9-75.1,2.2588
Illinois,"Cook County, IL",2604.00,70.3,56.9-75.1,2.6519
Illinois,"Cook County, IL",2605.00,70.1,56.9-75.1,3.472
Illinois,"Cook County, IL",2606.00,72,56.9-75.1,2.9634
Illinois,"Cook County, IL",2607.00,71.1,56.9-75.1,3.0013
Illinois,"Cook County, IL",2608.00,70.9,56.9-75.1,1.6753
Illinois,"Cook County, IL",2609.00,,,
Illinois,"Cook County, IL",2610.00,71.3,56.9-75.1,2.174
Illinois,"Cook County, IL",2705.00,71.3,56.9-75.1,2.2423
Illinois,"Cook County, IL",2712.00,73.1,56.9-75.1,2.7646
Illinois,"Cook County, IL",2713.00,72.5,56.9-75.1,3.7985
Illinois,"Cook County, IL",2714.00,68.6,56.9-75.1,3.6228
Illinois,"Cook County, IL",2715.00,,,
Illinois,"Cook County, IL",2718.00,69.5,56.9-75.1,3.2451
Illinois,"Cook County, IL",2801.00,,,
Illinois,"Cook County, IL",2804.00,69.8,56.9-75.1,2.9819
Illinois,"Cook County, IL",2808.00,73.8,56.9-75.1,1.5225
Illinois,"Cook County, IL",2809.00,,,
Illinois,"Cook County, IL",2819.00,,,
Illinois,"Cook County, IL",2827.00,74.3,56.9-75.1,2.4719
Illinois,"Cook County, IL",2828.00,81.7,81.7-97.5,3.9088
Illinois,"Cook County, IL",2831.00,76.3,75.2-77.5,1.733
Illinois,"Cook County, IL",2832.00,,,
Illinois,"Cook County, IL",2838.00,76.2,75.2-77.5,2.2688
Illinois,"Cook County, IL",2909.00,66.5,56.9-75.1,3.0651
Illinois,"Cook County, IL",2912.00,72,56.9-75.1,2.5848
Illinois,"Cook County, IL",2916.00,76.2,75.2-77.5,2.977
Illinois,"Cook County, IL",2922.00,72.4,56.9-75.1,0.9923
Illinois,"Cook County, IL",2924.00,72,56.9-75.1,1.5574
Illinois,"Cook County, IL",2925.00,72.2,56.9-75.1,1.6668
Illinois,"Cook County, IL",3005.00,75.6,75.2-77.5,1.6893
Illinois,"Cook County, IL",3006.00,75,56.9-75.1,1.0018
Illinois,"Cook County, IL",3007.00,76,75.2-77.5,2.1927
Illinois,"Cook County, IL",3008.00,,,
Illinois,"Cook County, IL",3009.00,76,75.2-77.5,2.2474
Illinois,"Cook County, IL",3011.00,75.6,75.2-77.5,1.5668
Illinois,"Cook County, IL",3012.00,75.6,75.2-77.5,1.5124
Illinois,"Cook County, IL",3016.00,77,75.2-77.5,2.0447
Illinois,"Cook County, IL",3017.01,77,75.2-77.5,1.5774
