Geographic Area Name,Median Income,Margin of Error,Median Income In Thousands
8237.05,64609,13053,64.609
618,64423,9976,64.423
8070,64400,18348,64.4
8398,64348,11166,64.348
8125,64347,3427,64.347
8263.01,64310,13227,64.31
701.03,64283,8688,64.283
2832,64265,14772,64.265
7005.01,64022,7943,64.022
2105.02,63993,11672,63.993
1709,63977,25636,63.977
8247.01,63900,18362,63.9
1903,63864,18940,63.864
2207.02,63594,8888,63.594
8329,63587,11432,63.587
1902,63378,13031,63.378
2108,63355,28892,63.355
8278.05,63261,25372,63.261
5803,63146,13080,63.146
8166,63105,11258,63.105
8126,63056,8265,63.056
8397,63056,19432,63.056
8278.04,63036,35607,63.036
203.01,62917,6788,62.917
8241.16,62815,13520,62.815
8051.11,62683,10145,62.683
5906,62625,16897,62.625
8183,62614,9257,62.614
8060.06,62565,12165,62.565
8282.02,62500,16232,62.5
8231.02,62467,17259,62.467
2207.01,62449,7007,62.449
8285.05,62346,19145,62.346
8287.02,62286,13250,62.286
3108,62202,9893,62.202
8150,62196,13640,62.196
8202.02,62181,6178,62.181
8025.05,62130,8872,62.13
8036.13,62115,10200,62.115
8051.12,62054,7852,62.054
8287.01,62021,21508,62.021
8333,61964,24276,61.964
4605,61896,25875,61.896
8245.05,61836,8120,61.836
8102,61775,8927,61.775
8062.02,61764,5195,61.764
2209.02,61736,11327,61.736
5604,61719,14231,61.719
6108,61591,17355,61.591
8045.11,61538,4215,61.538
5001,61531,15027,61.531
6403,61505,14961,61.505
1105.02,61486,15631,61.486
1906.02,61328,16897,61.328
301.03,61313,8466,61.313
5704,61275,14920,61.275
633.01,61139,6229,61.139
6009,61120,5259,61.12
8045.08,61090,12714,61.09
5701,61042,10754,61.042
8135,60994,5802,60.994
307.02,60992,14626,60.992
8245.08,60966,12590,60.966
8117.01,60942,7431,60.942
5206,60871,16936,60.871
6502,60788,46165,60.788
1403.01,60506,6750,60.506
8209.01,60500,14093,60.5
8174,60303,12218,60.303
8203,60241,15762,60.241
8255.05,60204,5899,60.204
8087.02,60125,18555,60.125
8161,60109,20310,60.109
1910,59826,27816,59.826
7608.02,59688,16318,59.688
8016.03,59671,21086,59.671
8258.02,59634,13415,59.634
1906.01,59388,29502,59.388
3109,59333,17536,59.333
8315,59240,16144,59.24
8307,59226,11330,59.226
4403,59128,14131,59.128
5602,59107,13669,59.107
6503.01,58972,11278,58.972
8106,58910,9823,58.91
4306,58800,23948,58.8
1909,58750,9784,58.75
8343,58750,19379,58.75
8140,58690,16139,58.69
8279.02,58625,11636,58.625
7707,58500,12919,58.5
2001,58469,10288,58.469
8221.02,58388,11958,58.388
1801,58353,13260,58.353
3103,58333,10208,58.333
8051.07,58328,10191,58.328
1708,58304,16104,58.304
4905,58295,11235,58.295
8060.02,58247,11250,58.247
1908,58212,14838,58.212
1904.02,58056,15652,58.056
8255.01,57976,10440,57.976
8238.03,57891,33004,57.891
4105,57794,19233,57.794
4902,57731,7738,57.731
8036.11,57730,16600,57.73
1612,57574,10020,57.574
8214.02,57545,9666,57.545
8062.01,57509,17692,57.509
8318,57500,13376,57.5
1913.02,57424,15206,57.424
8184.01,57344,9952,57.344
208.01,57295,16703,57.295
8077,57250,28703,57.25
2304,57200,28522,57.2
2002,57143,6878,57.143
106,57118,10516,57.118
2308,57105,15134,57.105
8116,57089,5944,57.089
8223.02,57071,21801,57.071
4801,57024,16229,57.024
8255.04,56964,17071,56.964
6407,56927,11748,56.927
8227.01,56880,8968,56.88
8237.03,56853,7203,56.853
8401,56768,6264,56.768
8136,56763,5832,56.763
8156,56683,12853,56.683
2206.02,56635,7290,56.635
8036.12,56591,5346,56.591
2409,56563,27369,56.563
2209.01,56316,18387,56.316
8230.01,56250,11377,56.25
8231.01,56154,16943,56.154
6204,56078,20618,56.078
5808,56000,19066,56
1907.01,55921,13253,55.921
8283,55917,10717,55.917
8142,55738,4926,55.738
1604,55673,9990,55.673
8117.02,55673,16531,55.673
8238.05,55655,10368,55.655
8300.06,55634,13670,55.634
5502,55625,27600,55.625
1407.02,55568,7728,55.568
3901,55529,53891,55.529
8051.08,55485,11327,55.485
8210.02,55324,14026,55.324
8280,55299,10802,55.299
8148,55226,4540,55.226
8170,55179,9662,55.179
2309,55123,5750,55.123
8304,55053,3810,55.053
1401,55000,14501,55
5501,54970,18384,54.97
8134,54957,7548,54.957
2003,54943,24839,54.943
8342,54830,13947,54.83
8152,54808,10135,54.808
8316,54755,14609,54.755
7305,54554,17284,54.554
206.01,54544,11892,54.544
619.01,54516,13861,54.516
8024.04,54491,15523,54.491
8205.02,54375,13932,54.375
3501,54352,5109,54.352
313,54325,7065,54.325
8179,54320,16877,54.32
8060.04,54298,10539,54.298
2004.01,54205,13587,54.205
8413,54152,14919,54.152
7501,54135,27924,54.135
8289,54115,14438,54.115
8432,54107,10135,54.107
8164.01,54103,14799,54.103
8264.02,54038,19842,54.038
8281,53940,2134,53.94
8111,53934,22187,53.934
8259,53922,10651,53.922
8424,53715,15276,53.715
2804,53646,20110,53.646
6611,53500,17603,53.5
8263.03,53433,6316,53.433
8366,53406,12828,53.406
8296,53361,12111,53.361
207.02,53350,9101,53.35
5603,53286,12409,53.286
7307,53263,5542,53.263
4909.02,53229,11876,53.229
