Census Tract,Median Income,Margin of Error,Median Income in Thousands
169,58617,10714,58.617
6.02,58583,25349,58.583
98.1,58417,20241,58.417
100.12,58185,29417,58.185
133.02,58170,8014,58.17
87.04,57976,12728,57.976
114.09,57899,9098,57.899
38.04,57775,26524,57.775
98.03,57744,9065,57.744
10.08,57731,26720,57.731
84.19,57677,14762,57.677
92,57625,7892,57.625
185,57614,19714,57.614
177,57579,7879,57.579
78.09,57372,13903,57.372
89.1,57321,43282,57.321
203,57083,15872,57.083
188.03,57060,25946,57.06
110.11,56913,5066,56.913
199.01,56750,31374,56.75
42.05,56731,17172,56.731
93.12,56658,13089,56.658
100.16,56382,10876,56.382
59.02,56351,9421,56.351
84.16,56313,29479,56.313
176,56269,17642,56.269
129,56258,7918,56.258
100.17,56250,17598,56.25
125.02,56145,9513,56.145
85.03,55938,28037,55.938
39.15,55838,12638,55.838
7.18,55796,2939,55.796
93.21,55625,36832,55.625
1.4,55560,15795,55.56
90.22,55528,20172,55.528
89.06,55500,9257,55.5
93.25,55476,24127,55.476
90.62,55104,15842,55.104
12.04,55077,9593,55.077
100.25,54778,8524,54.778
121.04,54735,33884,54.735
116.02,54576,19504,54.576
4.15,54563,25087,54.563
83.13,54453,3056,54.453
106.22,54409,9997,54.409
13.02,54306,23185,54.306
47.05,54258,42925,54.258
63.02,54018,10611,54.018
3.02,53864,25927,53.864
110.03,53798,7771,53.798
58.06,53750,43043,53.75
70.03,53548,9675,53.548
42.08,53527,42869,53.527
16.08,53438,16593,53.438
90.29,53431,16965,53.431
83.08,53419,14487,53.419
99.09,53387,3794,53.387
66.06,53289,40253,53.289
191,53072,12777,53.072
107.08,52702,5968,52.702
181,52500,20774,52.5
59.04,52467,15849,52.467
58.03,52415,21990,52.415
184,52399,11049,52.399
11.01,52394,7178,52.394
188.02,52382,9840,52.382
158,52368,11770,52.368
27.02,52305,4599,52.305
84.31,52247,29944,52.247
78.08,52188,11097,52.188
170,52168,6360,52.168
107.1,52072,30112,52.072
90.27,51952,3664,51.952
121.02,51922,10318,51.922
47.04,51797,12493,51.797
26,51583,7636,51.583
90.57,51522,48321,51.522
139,51437,11101,51.437
114.12,51326,2599,51.326
2.11,51161,9768,51.161
9.05,51045,8147,51.045
9.07,50979,19995,50.979
1.42,50812,22650,50.812
90.51,50795,16866,50.795
9.08,50768,7505,50.768
94.02,50735,13905,50.735
56,50560,12733,50.56
2.21,50552,5748,50.552
121.03,50511,12496,50.511
1.07,50488,7534,50.488
160,50469,13591,50.469
4.05,50428,21299,50.428
100.1,50417,18661,50.417
55.06,50249,5203,50.249
66.07,50000,33830,50
96.01,49762,30140,49.762
89.09,49514,20100,49.514
100.2,49480,22382,49.48
104,49451,10209,49.451
1.23,49356,27613,49.356
39.12,49348,11562,49.348
108.04,49342,18138,49.342
90.3,49250,7070,49.25
