State,County,Census Tract Number,Life Expectancy,Life Expectancy Range,Life Expectancy Standard Error
California,"Los Angeles County, CA",1190.02,85.4,81.7-97.5,1.6828
California,"Los Angeles County, CA",1192.01,82,81.7-97.5,1.8773
California,"Los Angeles County, CA",1192.02,84,81.7-97.5,3.1103
California,"Los Angeles County, CA",1193.10,79.8,79.6-81.6,1.7276
California,"Los Angeles County, CA",1193.20,80.1,79.6-81.6,2.3125
California,"Los Angeles County, CA",1193.40,76.2,75.2-77.5,1.6443
California,"Los Angeles County, CA",1193.41,82.4,81.7-97.5,3.1763
California,"Los Angeles County, CA",1193.42,76.2,75.2-77.5,1.5411
California,"Los Angeles County, CA",1194.00,81.6,79.6-81.6,1.8474
California,"Los Angeles County, CA",1197.00,80.4,79.6-81.6,1.3264
California,"Los Angeles County, CA",1198.00,85.9,81.7-97.5,2.9551
California,"Los Angeles County, CA",1199.00,82.7,81.7-97.5,1.9695
California,"Los Angeles County, CA",1200.10,81.8,81.7-97.5,2.8163
California,"Los Angeles County, CA",1200.20,77.4,75.2-77.5,1.5848
California,"Los Angeles County, CA",1200.30,,,
California,"Los Angeles County, CA",1201.03,,,
California,"Los Angeles County, CA",1201.04,81.8,81.7-97.5,3.9604
California,"Los Angeles County, CA",1201.05,82.8,81.7-97.5,2.1994
California,"Los Angeles County, CA",1201.06,77.6,77.6-79.5,1.6303
California,"Los Angeles County, CA",1201.07,79.5,77.6-79.5,2.9
California,"Los Angeles County, CA",1201.08,83,81.7-97.5,2.8411
California,"Los Angeles County, CA",1203.00,87.3,81.7-97.5,3.6605
California,"Los Angeles County, CA",1204.00,77.4,75.2-77.5,0.9305
California,"Los Angeles County, CA",1210.10,79.6,79.6-81.6,2.0826
California,"Los Angeles County, CA",1210.20,79,77.6-79.5,1.578
California,"Los Angeles County, CA",1211.01,76.2,75.2-77.5,1.3823
California,"Los Angeles County, CA",1211.02,79.7,79.6-81.6,1.4895
California,"Los Angeles County, CA",1212.10,81.1,79.6-81.6,2.837
California,"Los Angeles County, CA",1212.21,78,77.6-79.5,1.8936
California,"Los Angeles County, CA",1212.22,80.4,79.6-81.6,2.9626
California,"Los Angeles County, CA",1216.00,79.5,77.6-79.5,1.6728
California,"Los Angeles County, CA",1218.01,77.1,75.2-77.5,2.3788
California,"Los Angeles County, CA",1218.02,81,79.6-81.6,2.7217
California,"Los Angeles County, CA",1219.00,78.7,77.6-79.5,1.9007
California,"Los Angeles County, CA",1220.00,80.3,79.6-81.6,2.0446
California,"Los Angeles County, CA",1221.20,77.3,75.2-77.5,1.2608
California,"Los Angeles County, CA",1221.21,80.8,79.6-81.6,2.4235
California,"Los Angeles County, CA",1221.22,75.9,75.2-77.5,1.5702
California,"Los Angeles County, CA",1222.00,78.7,77.6-79.5,1.5868
California,"Los Angeles County, CA",1224.10,77.5,75.2-77.5,2.4323
California,"Los Angeles County, CA",1224.20,78.4,77.6-79.5,1.2786
California,"Los Angeles County, CA",1230.10,77.3,75.2-77.5,1.7878
California,"Los Angeles County, CA",1230.20,78.7,77.6-79.5,1.6047
California,"Los Angeles County, CA",1231.03,87.3,81.7-97.5,3.9165
California,"Los Angeles County, CA",1231.04,83.4,81.7-97.5,2.6335
California,"Los Angeles County, CA",1232.03,75.9,75.2-77.5,2.2915
California,"Los Angeles County, CA",1232.04,81.4,79.6-81.6,2.1906
California,"Los Angeles County, CA",1232.05,78.3,77.6-79.5,2.5139
California,"Los Angeles County, CA",1232.06,76.2,75.2-77.5,1.2942
California,"Los Angeles County, CA",1233.01,80.1,79.6-81.6,1.3075
California,"Los Angeles County, CA",1233.03,84.2,81.7-97.5,3.151
California,"Los Angeles County, CA",1233.04,81.4,79.6-81.6,2.686
California,"Los Angeles County, CA",1234.10,80.1,79.6-81.6,1.7145
California,"Los Angeles County, CA",1234.20,83,81.7-97.5,2.8342
California,"Los Angeles County, CA",1235.10,80.1,79.6-81.6,1.8558
California,"Los Angeles County, CA",1235.20,78.8,77.6-79.5,1.8696
California,"Los Angeles County, CA",1236.01,81,79.6-81.6,1.6685
California,"Los Angeles County, CA",1236.02,81.2,79.6-81.6,1.2983
California,"Los Angeles County, CA",1237.00,79.6,79.6-81.6,1.4751
California,"Los Angeles County, CA",1238.00,77.2,75.2-77.5,2.5875
California,"Los Angeles County, CA",1239.01,78.8,77.6-79.5,1.2106
California,"Los Angeles County, CA",1239.02,79.3,77.6-79.5,1.5547
California,"Los Angeles County, CA",1240.00,83.1,81.7-97.5,1.9005
California,"Los Angeles County, CA",1241.02,83,81.7-97.5,3.0661
California,"Los Angeles County, CA",1241.03,77.4,75.2-77.5,1.6652
California,"Los Angeles County, CA",1241.04,81.6,79.6-81.6,2.6281
California,"Los Angeles County, CA",1241.05,76,75.2-77.5,2.4671
California,"Los Angeles County, CA",1242.01,81.1,79.6-81.6,2.1813
California,"Los Angeles County, CA",1242.03,76.2,75.2-77.5,1.3337
California,"Los Angeles County, CA",1242.04,77.1,75.2-77.5,2.6795
California,"Los Angeles County, CA",1243.00,78.6,77.6-79.5,2.0413
California,"Los Angeles County, CA",1244.00,84.5,81.7-97.5,2.0466
California,"Los Angeles County, CA",1245.00,83,81.7-97.5,2.3976
California,"Los Angeles County, CA",1246.00,82,81.7-97.5,1.5277
California,"Los Angeles County, CA",1247.00,77.7,77.6-79.5,1.2887
California,"Los Angeles County, CA",1249.02,77.6,77.6-79.5,1.8631
California,"Los Angeles County, CA",1249.03,77.2,75.2-77.5,2.0125
California,"Los Angeles County, CA",1251.00,82.2,81.7-97.5,2.7434
California,"Los Angeles County, CA",1252.00,77.8,77.6-79.5,1.2089
California,"Los Angeles County, CA",1253.10,79.7,79.6-81.6,1.7435
California,"Los Angeles County, CA",1253.20,79.9,79.6-81.6,1.4645
California,"Los Angeles County, CA",1254.01,75.1,56.9-75.1,2.5839
California,"Los Angeles County, CA",1254.02,77.6,77.6-79.5,2.1393
California,"Los Angeles County, CA",1255.01,78.9,77.6-79.5,2.1519
California,"Los Angeles County, CA",1255.02,81.5,79.6-81.6,2.4492
