State,County,Census Tract Number,Life Expectancy,Life Expectancy Range,Life Expectancy Standard Error
Florida,"Miami-Dade County, FL",0039.14,82.3,81.7-97.5,2.34
Florida,"Miami-Dade County, FL",0039.15,80.5,79.6-81.6,1.4568
Florida,"Miami-Dade County, FL",0039.16,81.5,79.6-81.6,2.0423
Florida,"Miami-Dade County, FL",0039.17,78.6,77.6-79.5,1.3064
Florida,"Miami-Dade County, FL",0039.18,81.6,79.6-81.6,2.1271
Florida,"Miami-Dade County, FL",0039.19,82.1,81.7-97.5,1.5769
Florida,"Miami-Dade County, FL",0039.21,82.4,81.7-97.5,2.2836
Florida,"Miami-Dade County, FL",0039.22,84.4,81.7-97.5,2.0823
Florida,"Miami-Dade County, FL",0040.00,83.9,81.7-97.5,2.3831
Florida,"Miami-Dade County, FL",0041.02,83.6,81.7-97.5,1.8597
Florida,"Miami-Dade County, FL",0041.03,86.7,81.7-97.5,3.77
Florida,"Miami-Dade County, FL",0041.05,87.1,81.7-97.5,2.6636
Florida,"Miami-Dade County, FL",0041.06,84.3,81.7-97.5,2.5277
Florida,"Miami-Dade County, FL",0042.03,80.5,79.6-81.6,2.2467
Florida,"Miami-Dade County, FL",0042.04,81.2,79.6-81.6,2.0016
Florida,"Miami-Dade County, FL",0042.05,77.9,77.6-79.5,1.3752
Florida,"Miami-Dade County, FL",0042.06,,,
Florida,"Miami-Dade County, FL",0043.01,82.1,81.7-97.5,1.4221
Florida,"Miami-Dade County, FL",0043.03,,,
Florida,"Miami-Dade County, FL",0043.04,75.7,75.2-77.5,2.2261
Florida,"Miami-Dade County, FL",0044.03,71.5,56.9-75.1,1.5261
Florida,"Miami-Dade County, FL",0044.04,79.7,79.6-81.6,1.0715
Florida,"Miami-Dade County, FL",0044.05,76.5,75.2-77.5,1.2912
Florida,"Miami-Dade County, FL",0044.06,77.4,75.2-77.5,3.9609
Florida,"Miami-Dade County, FL",0045.00,80.7,79.6-81.6,1.4063
Florida,"Miami-Dade County, FL",0046.02,,,
Florida,"Miami-Dade County, FL",0046.05,82.8,81.7-97.5,1.0591
Florida,"Miami-Dade County, FL",0046.07,91.6,81.7-97.5,3.4695
Florida,"Miami-Dade County, FL",0046.08,,,
Florida,"Miami-Dade County, FL",0047.01,84,81.7-97.5,2.6351
Florida,"Miami-Dade County, FL",0047.02,86.4,81.7-97.5,1.9466
Florida,"Miami-Dade County, FL",0047.03,78,77.6-79.5,1.1104
Florida,"Miami-Dade County, FL",0049.01,76.7,75.2-77.5,1.49
Florida,"Miami-Dade County, FL",0049.02,79.7,79.6-81.6,0.9504
Florida,"Miami-Dade County, FL",0050.01,82.4,81.7-97.5,2.1728
Florida,"Miami-Dade County, FL",0050.02,82.2,81.7-97.5,1.5769
Florida,"Miami-Dade County, FL",0051.02,84.7,81.7-97.5,2.8134
Florida,"Miami-Dade County, FL",0051.03,83.6,81.7-97.5,2.6296
Florida,"Miami-Dade County, FL",0051.04,84.4,81.7-97.5,3.0469
Florida,"Miami-Dade County, FL",0052.01,75.7,75.2-77.5,1.0707
Florida,"Miami-Dade County, FL",0052.02,77,75.2-77.5,1.2826
Florida,"Miami-Dade County, FL",0053.02,76.8,75.2-77.5,1.1816
Florida,"Miami-Dade County, FL",0053.03,79.8,79.6-81.6,2.0965
Florida,"Miami-Dade County, FL",0053.04,82.1,81.7-97.5,1.8908
Florida,"Miami-Dade County, FL",0054.03,75.3,75.2-77.5,2.7476
Florida,"Miami-Dade County, FL",0054.05,76.7,75.2-77.5,1.0239
Florida,"Miami-Dade County, FL",0054.06,82.9,81.7-97.5,2.8986
Florida,"Miami-Dade County, FL",0054.07,84.3,81.7-97.5,2.464
Florida,"Miami-Dade County, FL",0054.09,80.2,79.6-81.6,2.3337
Florida,"Miami-Dade County, FL",0054.10,79.6,79.6-81.6,1.614
Florida,"Miami-Dade County, FL",0055.01,83.8,81.7-97.5,2.6667
Florida,"Miami-Dade County, FL",0055.02,81.6,79.6-81.6,1.4047
Florida,"Miami-Dade County, FL",0056.00,85.6,81.7-97.5,1.7402
Florida,"Miami-Dade County, FL",0057.01,84.6,81.7-97.5,1.6908
Florida,"Miami-Dade County, FL",0057.03,82.9,81.7-97.5,1.4378
Florida,"Miami-Dade County, FL",0057.04,81.3,79.6-81.6,1.4496
Florida,"Miami-Dade County, FL",0058.01,83.1,81.7-97.5,1.6725
Florida,"Miami-Dade County, FL",0058.02,86.1,81.7-97.5,1.7849
Florida,"Miami-Dade County, FL",0059.01,80.9,79.6-81.6,1.3489
Florida,"Miami-Dade County, FL",0059.02,80.2,79.6-81.6,1.3425
Florida,"Miami-Dade County, FL",0059.03,81.7,81.7-97.5,1.5851
Florida,"Miami-Dade County, FL",0059.04,79.8,79.6-81.6,1.5507
Florida,"Miami-Dade County, FL",0060.01,81,79.6-81.6,1.5272
Florida,"Miami-Dade County, FL",0060.02,82.4,81.7-97.5,1.4742
Florida,"Miami-Dade County, FL",0061.01,85.5,81.7-97.5,1.5739
Florida,"Miami-Dade County, FL",0061.02,84.7,81.7-97.5,1.7659
Florida,"Miami-Dade County, FL",0062.01,82.9,81.7-97.5,2.5754
Florida,"Miami-Dade County, FL",0062.03,84.7,81.7-97.5,2.366
Florida,"Miami-Dade County, FL",0062.05,84.4,81.7-97.5,3.1552
Florida,"Miami-Dade County, FL",0062.06,87.4,81.7-97.5,3.4655
Florida,"Miami-Dade County, FL",0063.01,81.5,79.6-81.6,2.2582
Florida,"Miami-Dade County, FL",0063.02,79.3,77.6-79.5,0.9372
Florida,"Miami-Dade County, FL",0064.01,,,
Florida,"Miami-Dade County, FL",0064.02,81.2,79.6-81.6,1.6661
Florida,"Miami-Dade County, FL",0064.03,80.3,79.6-81.6,1.4204
Florida,"Miami-Dade County, FL",0065.01,80.6,79.6-81.6,1.7638
Florida,"Miami-Dade County, FL",0065.03,78.9,77.6-79.5,1.1979
Florida,"Miami-Dade County, FL",0065.04,82.9,81.7-97.5,2.4562
Florida,"Miami-Dade County, FL",0066.01,81.6,79.6-81.6,1.9868
Florida,"Miami-Dade County, FL",0066.02,77.9,77.6-79.5,1.5568
Florida,"Miami-Dade County, FL",0067.02,81.5,79.6-81.6,2.4561
Florida,"Miami-Dade County, FL",0067.05,83.7,81.7-97.5,1.7749
Florida,"Miami-Dade County, FL",0067.06,82.2,81.7-97.5,1.8014
Florida,"Miami-Dade County, FL",0067.07,82,81.7-97.5,2.7633
Florida,"Miami-Dade County, FL",0067.09,,,
Florida,"Miami-Dade County, FL",0067.11,82.1,81.7-97.5,2.094
Florida,"Miami-Dade County, FL",0067.13,,,
Florida,"Miami-Dade County, FL",0067.14,81.8,81.7-97.5,3.0013
Florida,"Miami-Dade County, FL",0068.01,82.1,81.7-97.5,1.4389
Florida,"Miami-Dade County, FL",0068.02,84,81.7-97.5,2.099
Florida,"Miami-Dade County, FL",0069.00,83.4,81.7-97.5,1.5542
Florida,"Miami-Dade County, FL",0070.01,83.8,81.7-97.5,1.555
Florida,"Miami-Dade County, FL",0070.02,82.6,81.7-97.5,1.9128
Florida,"Miami-Dade County, FL",0071.01,79.2,77.6-79.5,2.7376
Florida,"Miami-Dade County, FL",0071.03,82.1,81.7-97.5,2.4008
