Census Tract,Median Income,Margin of Error,Margin of Error in Thousands,Median Income in Thousands
1253.21,49560,14764,49.56,49.56
4619.01,49583,11293,49.583,49.583
9106.01,49583,22860,49.583,49.583
1279.2,49604,24331,49.604,49.604
2933.07,49604,13971,49.604,49.604
4339.01,49621,8015,49.621,49.621
5702.04,49720,14707,49.72,49.72
4048.05,49787,18782,49.787,49.787
5544.05,49787,9061,49.787,49.787
2381,49847,15985,49.847,49.847
2287.2,49875,10602,49.875,49.875
2946.2,49880,7672,49.88,49.88
1175.3,49886,10071,49.886,49.886
9001.04,49886,4217,49.886,49.886
5343.01,49974,6626,49.974,49.974
6015.02,50000,19986,50,50
9200.38,50000,20371,50,50
9203.43,50000,14984,50,50
2128,50053,12198,50.053,50.053
2083.01,50054,14797,50.054,50.054
5511.01,50069,20383,50.069,50.069
2772,50109,12469,50.109,50.109
1193.41,50168,6091,50.168,50.168
5359.01,50219,13772,50.219,50.219
1271.02,50224,11859,50.224,50.224
4824.01,50230,4688,50.23,50.23
5355.03,50240,8228,50.24,50.24
2015.03,50344,5468,50.344,50.344
2036.01,50345,7240,50.345,50.345
2945.2,50357,7815,50.357,50.357
5336.02,50364,6389,50.364,50.364
4336.02,50379,11201,50.379,50.379
5415,50385,10799,50.385,50.385
1909.02,50417,18482,50.417,50.417
2413,50417,11038,50.417,50.417
4328.02,50417,6966,50.417,50.417
1927,50430,10911,50.43,50.43
2948.1,50438,9899,50.438,50.438
2084.02,50446,15898,50.446,50.446
5416.05,50457,11940,50.457,50.457
1913.02,50469,10891,50.469,50.469
1041.05,50483,8305,50.483,50.483
5319.01,50486,12807,50.486,50.486
6026.02,50491,15179,50.491,50.491
2400.2,50521,16880,50.521,50.521
1393.03,50534,12966,50.534,50.534
6025.11,50556,17563,50.556,50.556
1318.01,50563,16664,50.563,50.563
5312.01,50568,7965,50.568,50.568
5351.02,50583,15068,50.583,50.583
1283.02,50598,10983,50.598,50.598
2121.01,50640,7933,50.64,50.64
5541.01,50644,12431,50.644,50.644
6014.01,50655,9311,50.655,50.655
2406,50667,13902,50.667,50.667
1990.01,50679,14348,50.679,50.679
2324.02,50692,10873,50.692,50.692
5332.01,50729,19029,50.729,50.729
5751.01,50745,10914,50.745,50.745
2412.01,50750,8519,50.75,50.75
4817.11,50777,9211,50.777,50.777
5402.03,50810,10997,50.81,50.81
5749.02,50847,15420,50.847,50.847
1221.21,50893,7138,50.893,50.893
1172.01,50972,12906,50.972,50.972
3021.03,51000,19856,51,51
2655.21,51014,12500,51.014,51.014
2946.1,51036,15919,51.036,51.036
1853.2,51042,9928,51.042,51.042
2220.02,51084,9595,51.084,51.084
1234.1,51094,11308,51.094,51.094
5312.02,51135,4817,51.135,51.135
4017.07,51141,8358,51.141,51.141
1041.08,51207,6276,51.207,51.207
1992.01,51250,16812,51.25,51.25
2117.03,51299,2490,51.299,51.299
6030.08,51304,20022,51.304,51.304
5535.03,51326,5624,51.326,51.326
2043,51359,9677,51.359,51.359
1919.01,51391,12784,51.391,51.391
2379,51404,11323,51.404,51.404
4340.01,51438,11144,51.438,51.438
5421.03,51481,11356,51.481,51.481
2111.22,51484,9475,51.484,51.484
6025.13,51500,18667,51.5,51.5
1957.2,51518,12961,51.518,51.518
4333.02,51538,4104,51.538,51.538
2071.01,51544,19299,51.544,51.544
2948.3,51554,7968,51.554,51.554
5335.04,51556,4914,51.556,51.556
5013.02,51587,28689,51.587,51.587
5360,51625,9281,51.625,51.625
9105.04,51636,9646,51.636,51.636
1211.02,51691,8493,51.691,51.691
5337.02,51702,10590,51.702,51.702
6021.05,51754,8982,51.754,51.754
3023.02,51805,5455,51.805,51.805
5351.01,51820,10667,51.82,51.82
5705.03,51820,6198,51.82,51.82
2398.01,51833,13931,51.833,51.833
4028.04,51903,6946,51.903,51.903
5407,51908,13748,51.908,51.908
2126.1,51920,14921,51.92,51.92
2114.1,51921,7995,51.921,51.921
2193,51941,15558,51.941,51.941
5305,51941,18221,51.941,51.941
5358.03,51944,12823,51.944,51.944
2971.2,52000,15271,52,52
5336.01,52000,10102,52,52
4023.03,52036,4192,52.036,52.036
1239.01,52083,28637,52.083,52.083
5754.02,52100,6804,52.1,52.1
5348.03,52173,21280,52.173,52.173
2969.02,52217,5321,52.217,52.217
2112.01,52223,5441,52.223,52.223
5717.03,52237,15687,52.237,52.237
1977,52250,4823,52.25,52.25
5759.01,52250,11676,52.25,52.25
5040.01,52252,28422,52.252,52.252
5705.04,52287,15783,52.287,52.287
3020.03,52313,12588,52.313,52.313
5544.03,52337,11725,52.337,52.337
4823.03,52344,12450,52.344,52.344
5316.03,52367,10661,52.367,52.367
2086.2,52391,9787,52.391,52.391
4339.03,52438,14040,52.438,52.438
5536.01,52542,14835,52.542,52.542
5703.06,52561,50144,52.561,52.561
2212.2,52623,9065,52.623,52.623
5357.01,52625,16669,52.625,52.625
5325,52639,8774,52.639,52.639
5356.05,52653,5970,52.653,52.653
1153.02,52679,13967,52.679,52.679
1200.1,52699,12379,52.699,52.699
1241.05,52708,8472,52.708,52.708
2133.1,52724,10518,52.724,52.724
5751.03,52748,3693,52.748,52.748
5766.01,52768,17552,52.768,52.768
3107.04,52769,6268,52.769,52.769
5308.01,52813,15145,52.813,52.813
4028.03,52857,14414,52.857,52.857
1221.2,52865,9419,52.865,52.865
1278.05,52917,14372,52.917,52.917
2315,52946,35401,52.946,52.946
2409.01,52969,26297,52.969,52.969
5418.01,52981,4331,52.981,52.981
2327.01,53036,28331,53.036,53.036
6025.07,53044,3695,53.044,53.044
2014.01,53050,13077,53.05,53.05
2111.24,53055,15751,53.055,53.055
9009.02,53083,16646,53.083,53.083
2190.1,53088,25347,53.088,53.088
4323,53125,13532,53.125,53.125
1232.03,53130,9751,53.13,53.13
1956,53145,21178,53.145,53.145
1345.21,53169,7348,53.169,53.169
6033.02,53173,19179,53.173,53.173
1321.02,53190,17238,53.19,53.19
4335.05,53190,11408,53.19,53.19
5703.03,53271,17047,53.271,53.271
2372.01,53294,9715,53.294,53.294
2036.02,53333,18349,53.333,53.333
4024.05,53393,12875,53.393,53.393
1242.03,53409,6827,53.409,53.409
2212.1,53453,6864,53.453,53.453
5344.03,53500,14679,53.5,53.5
1048.22,53542,17178,53.542,53.542
1393.02,53561,8340,53.561,53.561
1044.04,53594,12902,53.594,53.594
1095,53594,9611,53.594,53.594
9104.04,53598,7947,53.598,53.598
1253.1,53769,11571,53.769,53.769
5703.04,53778,10394,53.778,53.778
5321.01,53833,11032,53.833,53.833
5309.01,53860,16811,53.86,53.86
2286,53864,15860,53.864,53.864
1233.03,53866,12051,53.866,53.866
9100.02,53889,20205,53.889,53.889
2125.02,53900,12722,53.9,53.9
9009.01,53910,8854,53.91,53.91
2291,53958,13956,53.958,53.958
9006.07,54016,12556,54.016,54.016
1224.2,54022,6472,54.022,54.022
1064.08,54038,17259,54.038,54.038
